 ,10,20,30,40,50,60,70,80,90,100,110
0,3.795994079,4.103021978,4.426492196,4.700572082,5.076471391,5.152052216,5.254440647,5.466015038,5.404912281,5.619385965,5.807748538
1,3.64332094,4.255128205,4.670528986,4.900556653,5.133033126,5.082777778,5.144134199,5.526269841,5.397151211,5.369351074,5.367664183
2,3.671839342,4.207726496,4.461734671,4.793181818,4.943344848,5.186132756,5.213407382,5.558061821,5.456031746,5.251470588,5.592638459
3,3.563890612,4.276780627,4.664128205,4.808422013,5.097835498,4.935324675,5.233116883,5.357451963,5.464849624,5.208039216,5.51256311
4,3.714793427,4.284615385,4.467622631,4.857199322,5.013102767,4.631666667,4.82216792,5.561725146,5.56621775,5.588562092,5.636505418
5,3.707854912,4.371367521,4.668141026,4.863359684,4.887596462,4.969298916,5.154940711,5.374895572,5.458174603,5.44251462,5.556824905
6,3.605328431,3.984615385,4.622591973,4.822928195,4.978517316,5.160662237,5.261709197,5.564177109,5.603373016,5.530392157,5.479229578
7,3.826304392,4.247293447,4.682935897,4.830072464,4.943835874,5.070510697,5.23611301,5.493136629,5.450952381,5.374906629,5.556929825
8,3.640136651,4.291310541,4.501527871,4.886083663,5.116356108,5.111706349,5.156150009,5.457844232,5.497930242,5.312682073,5.580532336
9,3.650477164,4.320412291,4.556307692,4.786581028,4.935822511,5.05164096,5.081466925,5.249634503,5.537491646,5.242128852,5.439088738
10,3.622354024,3.922079772,4.503391304,4.775080369,4.982815735,5.105553657,5.181798056,5.583289474,5.458690476,5.477857143,5.517026942
20,3.56663683,4.223071225,4.161910256,4.621996706,4.977395069,4.975400928,5.212251082,5.236313243,5.490163399,5.534596786,5.692209691
30,3.75094091,4.115954416,4.321371795,4.678070234,4.921343874,4.828192641,4.847117794,4.976335156,5.576152391,5.573264154,5.70999828
40,3.691018822,4.15042735,4.491276477,4.552010352,4.973517787,4.908178921,5.021755476,5.044831776,5.494949076,5.520928424,5.704985749
50,3.76113433,4.206980057,4.377566332,4.675615942,4.807434594,5.002231319,4.866904762,4.924250399,5.433800801,5.56136788,5.707567939
60,3.696570495,4.143732194,4.266307692,4.655557971,4.788782232,4.886008376,4.967291145,4.916973874,5.484707692,5.578314659,5.726946533
70,3.685900194,4.193589744,4.315692308,4.62,4.846640316,5.010046113,4.874989747,4.85751462,5.579084967,5.535690943,5.661577227
80,3.692269212,4.199287749,4.435230769,4.624804348,4.817316017,5.026936759,5.032811525,4.895653907,5.540277778,5.571792717,5.567922932
90,3.696843138,4.145441595,4.413833333,4.507695652,4.896367401,5.020560418,4.971277056,4.763452951,5.522922502,5.485845005,5.674756745
100,3.644622693,4.184900285,4.438602564,4.633224638,4.825016469,4.913151703,5.05411825,5.056236424,5.54620743,5.522427638,5.576723426
,,,,,,,,,,,
max,3.826304392,4.371367521,4.682935897,4.900556653,5.133033126,5.186132756,5.261709197,5.583289474,5.603373016,5.619385965,5.807748538
 ,10,20,30,40,50,60,70,80,90,100,110,
0,3.7832522246941,4.2991452991453,4.43805944055944,4.76718426501035,4.78983625070582,5.16067441330599,5.31084415584416,5.34278195488722,5.36147869674186,5.27576023391813,5.82894736842105,
1,3.78533404230178,4.13660968660969,4.46207692307692,4.670617467582,5.01497035573123,5.00261183261183,5.18867243867244,5.37483745013157,5.56761695906433,5.42987861811391,5.38075163398693,
2,3.90042916853262,4.34273504273504,4.58673857302118,4.72370360798622,5.06803022873389,4.9458712905452,5.20204830257462,5.30357370699476,5.53596625252972,5.49850017199862,5.57802545579635,
3,3.78531039779649,4.32054334554335,4.64461538461538,4.72665546772069,4.96716641201935,5.04728339293557,5.2959595959596,5.39062656641604,5.49492481203008,5.36781045751634,5.38235294117647,
4,3.86937541050903,4.21538461538462,4.59805128205128,4.73483931286105,4.98218577075099,4.93309806135893,4.96470950102529,4.93042378673958,5.23730472013367,5.78679050567596,5.53994658119658,
5,3.73305186980243,4.25213105413105,4.64226031215162,4.74597167325428,5.07133446263881,5.11949134199134,5.26244588744589,5.41543605001809,5.3860256702362,5.41966174348527,5.47457344341245,
6,3.90663061035697,4.13333333333333,4.57623169825344,4.5536895206243,4.92901185770751,4.89872294372294,5.15017240069872,5.39633059922534,5.48602142611431,5.43850957049486,5.50188940488476,
7,3.80870823180959,4.24586894586895,4.62195652173913,4.68871080368906,4.79399585921325,4.92230848861284,5.22536796536797,5.40268398268398,5.51773391812865,5.43510835913313,5.45334365325077,
8,3.97998810406625,4.26452991452991,4.50678205128205,4.7116231884058,4.91725955204216,5.08898268398268,5.24818865345181,5.40211323763955,5.44706349206349,5.51958204334365,5.47826453388373,
9,3.86990729337712,4.36884086284086,4.45658974358974,4.65114690382082,4.82881884057971,5.10979722032354,5.2077155008734,5.28881379585327,5.48652958152958,5.43817595459236,5.40712074303405,
10,3.88457383571399,3.95213675213675,4.60096153846154,4.48031884057971,5.06731601731602,4.93805383022774,5.37939393939394,5.41370547581074,5.32113304093567,5.62040100250626,5.46336032388664,
 ,10,20,30,40,50,60,70,80,90,100,110,
0,3.45202581594148,4.06813186813187,4.4956884057971,4.6826581027668,4.95343967626576,5.19907208733296,5.31372294372294,5.41644110275689,5.43762740183793,5.29136895268474,5.71472431077694,
1,3.51905974949389,4.01823361823362,4.50632664437012,4.79622859025033,4.86465273856578,5.08837144739319,5.31327561327561,5.49210858585859,5.47142021720969,5.4938387635756,5.23164897537963,
2,3.70808645606546,4.27136752136752,4.52524358974359,4.81586627140975,4.9305900621118,4.99666478449087,5.11944371799063,5.37630477709425,5.42850213769718,5.4005929038282,5.52584967320261,
3,3.62452425008251,4.34444444444444,4.53170512820513,4.76135902503294,4.99933888575193,5.0125,5.21856307435255,5.34114557226399,5.3959022556391,5.33195046439628,5.63970588235294,
4,3.77581551518148,4.22136752136752,4.62613043478261,4.67723188405797,4.75448428383211,4.91300595857232,5.09753246753247,5.04289473684211,5.36198117843629,5.69188854489164,5.60535947712418,
5,3.63286869870644,4.05783475783476,4.37692307692308,4.68034782608696,4.96803359683794,5.14272727272727,5.23831168831169,5.39547103051747,5.38066435026961,5.51957805610282,5.45216951692958,
6,3.68851263676278,4.12336182336182,4.26584615384615,4.75305807236242,4.82877611518916,5.08013990840078,5.21465292017924,5.31729642734287,5.4356850459482,5.59778379772962,5.44787356778069,
7,3.638237870254,4.24458689458689,4.43252564102564,4.74537185354691,4.9527545642763,5.03058441558442,5.2569696969697,5.37003740411635,5.46838001867414,5.39462074303406,5.53063725490196,
8,3.49630043124653,4.24444444444445,4.51238461538462,4.80076086956522,4.72956898174289,5.09286278938453,5.19422723475355,5.47647451963241,5.60948830409357,5.43503034547152,5.5052792142498,
9,3.55160714887634,4.32877492877493,4.49029988851728,4.85416666666667,5.07180500658762,5.1028780944456,5.12039921939235,5.21388167388167,5.46979323308271,5.47261437908497,5.53565359477124,
10,3.53203528812678,4.11837606837607,4.55275641025641,4.56033333333333,5.01109542631282,5.08677771503858,5.27777620929795,5.17286549707602,5.44290726817043,5.53833333333333,5.49008547008547,
